date,Brazil,India,US
1/23/20,0,0,0
1/24/20,0,0,1
1/25/20,0,0,0
1/26/20,0,0,3
1/27/20,0,0,0
1/28/20,0,0,0
1/29/20,0,0,1
1/30/20,0,1,0
1/31/20,0,0,2
2/1/20,0,0,0
2/2/20,0,1,0
2/3/20,0,1,3
2/4/20,0,0,0
2/5/20,0,0,0
2/6/20,0,0,1
2/7/20,0,0,0
2/8/20,0,0,0
2/9/20,0,0,0
2/10/20,0,0,0
2/11/20,0,0,1
2/12/20,0,0,0
2/13/20,0,0,1
2/14/20,0,0,0
2/15/20,0,0,0
2/16/20,0,0,0
2/17/20,0,0,0
2/18/20,0,0,0
2/19/20,0,0,0
2/20/20,0,0,0
2/21/20,0,0,2
2/22/20,0,0,0
2/23/20,0,0,0
2/24/20,0,0,0
2/25/20,0,0,0
2/26/20,1,0,0
2/27/20,0,0,1
2/28/20,0,0,0
2/29/20,1,0,8
3/1/20,0,0,7
3/2/20,0,2,23
3/3/20,0,0,19
3/4/20,2,23,33
3/5/20,0,2,77
3/6/20,9,1,53
3/7/20,0,3,166
3/8/20,7,5,116
3/9/20,5,4,75
3/10/20,6,13,188
3/11/20,7,6,365
3/12/20,14,11,439
3/13/20,99,9,633
3/14/20,0,20,759
3/15/20,11,11,234
3/16/20,38,6,1467
3/17/20,121,23,1833
3/18/20,51,14,2657
3/19/20,249,38,4494
3/20/20,172,50,6367
3/21/20,228,86,5995
3/22/20,525,66,8873
3/23/20,378,103,11238
3/24/20,323,37,10619
3/25/20,307,121,12082
3/26/20,431,70,17856
3/27/20,432,160,18690
3/28/20,487,100,19630
3/29/20,352,37,18899
3/30/20,323,227,22075
3/31/20,1138,146,26314
4/1/20,1119,601,32286
4/2/20,1208,545,32222
4/3/20,1012,24,32307
4/4/20,1304,515,32386
4/5/20,770,506,29895
4/6/20,1031,1190,31390
4/7/20,1873,533,30779
4/8/20,2136,605,31235
4/9/20,1922,809,35942
4/10/20,1546,873,34403
4/11/20,1089,848,29083
4/12/20,1465,759,27256
4/13/20,1238,1248,26939
4/14/20,1832,1034,28818
4/15/20,3058,835,25408
4/16/20,2105,1108,30002
4/17/20,3257,922,33066
4/18/20,2976,1370,27907
4/19/20,1996,1893,26062
4/20/20,2089,924,29820
4/21/20,2336,1541,25926
4/22/20,2678,1290,28911
4/23/20,4279,1707,33612
4/24/20,4007,1453,32327
4/25/20,5281,1753,30380
4/26/20,3776,1607,26488
4/27/20,4346,1561,23715
4/28/20,5789,1873,24575
4/29/20,6450,1738,26459
4/30/20,7502,1801,29205
5/1/20,5015,2394,34907
5/2/20,4898,2442,27348
5/3/20,4726,2806,24321
5/4/20,6794,3932,24068
5/5/20,6835,2963,24528
5/6/20,11156,3587,24569
5/7/20,9162,3364,27429
5/8/20,11121,3344,26830
5/9/20,9167,3113,25176
5/10/20,6638,4353,18805
5/11/20,6895,3607,19298
5/12/20,8620,3524,22927
5/13/20,11923,3763,20433
5/14/20,13028,3942,26817
5/15/20,17126,3787,24733
5/16/20,13220,4864,24135
5/17/20,7569,5050,18388
5/18/20,14288,4630,22389
5/19/20,16517,6147,20979
5/20/20,19694,5553,22725
5/21/20,18508,6198,25769
5/22/20,20803,6568,23649
5/23/20,16508,6629,21099
5/24/20,15813,7113,20077
5/25/20,11687,6414,18662
5/26/20,16324,5843,19663
5/27/20,20599,7293,18551
5/28/20,26417,7300,22320
5/29/20,26928,8105,24478
5/30/20,33274,8336,23632
5/31/20,16409,8782,18983
6/1/20,11598,7761,17414
6/2/20,28936,8821,21502
6/3/20,28633,9633,19857
6/4/20,30925,9889,21658
6/5/20,30830,9471,25403
6/6/20,27075,10438,21142
6/7/20,18912,10864,17928
6/8/20,15654,8442,17616
6/9/20,32091,10218,18383
6/10/20,32913,10459,21111
6/11/20,30412,10930,23166
6/12/20,25982,11458,24828
6/13/20,21704,11929,25212
6/14/20,17110,11502,18941
6/15/20,20647,10667,19827
6/16/20,34918,10974,23667
6/17/20,32188,12881,27072
6/18/20,22765,13586,28537
6/19/20,54771,14516,31544
6/20/20,34666,15403,32280
6/21/20,15762,14831,25150
6/22/20,23129,14933,32144
6/23/20,39436,15968,37072
6/24/20,42725,16922,35878
6/25/20,39483,17296,40326
6/26/20,46860,18552,45999
6/27/20,38693,19906,41330
6/28/20,30476,19459,40734
6/29/20,24052,18522,41299
6/30/20,33846,18641,46420
7/1/20,46712,19160,51820
7/2/20,48105,20903,56636
7/3/20,42223,22771,51351
7/4/20,37923,24850,45693
7/5/20,26051,24248,50747
7/6/20,20229,22251,43106
7/7/20,45305,22753,60661
7/8/20,44571,24879,60119
7/9/20,42619,26506,62509
7/10/20,45048,27114,68057
7/11/20,39023,28606,60017
7/12/20,24831,28732,58424
7/13/20,20286,28498,58930
7/14/20,41857,29429,68051
7/15/20,39924,32676,68090
7/16/20,45403,34975,75866
7/17/20,34177,35252,72236
7/18/20,28532,38697,62536
7/19/20,23529,40425,60456
7/20/20,20257,37132,62107
7/21/20,41008,37740,64461
7/22/20,67860,45720,70579
7/23/20,59961,49310,68445
7/24/20,55891,48916,73319
7/25/20,51147,48611,64953
7/26/20,24578,49981,54816
7/27/20,23284,44457,56783
7/28/20,40816,51596,66412
7/29/20,69074,50294,71873
7/30/20,57837,52783,67466
7/31/20,52383,61242,68712
8/1/20,45392,54735,56201
8/2/20,25800,52972,45568
8/3/20,16641,52050,45501
8/4/20,51603,52509,58774
8/5/20,57152,56282,54466
8/6/20,53139,62538,59349
8/7/20,50230,61537,59303
8/8/20,49970,64399,54134
8/9/20,23010,62064,45769
8/10/20,22048,53601,47606
8/11/20,52160,60963,48003
8/12/20,55155,66999,56040
8/13/20,60091,64553,51316
8/14/20,50644,64732,65336
8/15/20,41576,64030,46951
8/16/20,23101,57711,39212
8/17/20,19373,55018,36652
8/18/20,47784,64572,45033
8/19/20,49298,69672,47320
8/20/20,45323,68900,44041
8/21/20,30355,69876,48843
8/22/20,50032,69239,43064
8/23/20,23421,61408,34247
8/24/20,17078,60975,36482
8/25/20,47134,57224,40354
8/26/20,47161,85687,45172
8/27/20,44235,77266,45393
8/28/20,43412,76472,46832
8/29/20,41350,78761,42754
8/30/20,16158,78512,34404
8/31/20,45961,69921,35362
9/1/20,42659,78357,41846
9/2/20,46934,83883,41018
9/3/20,43773,83341,44251
9/4/20,50163,86432,50382
9/5/20,31199,90632,43158
9/6/20,14521,90802,31218
9/7/20,10273,75809,23613
9/8/20,14279,89706,27226
9/9/20,35816,95735,34049
9/10/20,40557,96551,36056
9/11/20,43718,97570,47769
9/12/20,33523,94372,41101
9/13/20,14768,92071,34372
9/14/20,15155,83809,34423
9/15/20,36653,90123,39492
9/16/20,36820,97894,39030
9/17/20,36303,96424,45130
9/18/20,39797,93337,49282
9/19/20,33057,92605,42202
9/20/20,16389,86961,38447
9/21/20,13411,75083,51878
9/22/20,33324,83347,39866
9/23/20,0,86508,39069
9/24/20,66338,86052,47103
9/25/20,31911,85362,48295
9/26/20,28378,88600,44673
9/27/20,14318,82170,37528
9/28/20,13155,70589,33294
9/29/20,32058,80472,43338
9/30/20,33413,86821,39443
10/1/20,36157,81484,45650
10/2/20,0,79476,54950
10/3/20,59741,75829,48577
10/4/20,8456,74442,35738
10/5/20,11946,61267,39376
10/6/20,41906,72049,45289
10/7/20,31553,78524,51056
10/8/20,27750,70496,58599
10/9/20,27444,73272,56384
10/10/20,26749,74383,54953
10/11/20,12342,66732,45981
10/12/20,8429,55342,41774
10/13/20,10220,63509,52231
10/14/20,27235,67708,59778
10/15/20,28523,63371,64880
10/16/20,30914,62212,69147
10/17/20,24062,61871,56759
10/18/20,0,55722,49367
10/19/20,26365,46790,67717
10/20/20,23227,54044,61956
10/21/20,24818,55839,63301
10/22/20,24858,54366,76310
10/23/20,30026,53370,81933
10/24/20,26979,50129,82767
10/25/20,13493,45148,62204
10/26/20,15726,36470,67310
10/27/20,29787,43893,76838
10/28/20,28629,49881,79426
10/29/20,26106,48648,91019
10/30/20,22282,48268,99264
10/31/20,18947,46963,89754
11/1/20,10100,45231,104900
11/2/20,8501,38310,85211
11/3/20,11843,46253,127198
11/4/20,23976,50210,104541
11/5/20,0,47638,129367
11/6/20,41156,50356,128033
11/7/20,22380,45674,127510
11/8/20,10554,45903,115170
11/9/20,10917,38073,120434
11/10/20,23973,44281,140504
11/11/20,48655,47905,146750
11/12/20,33922,44879,164750
11/13/20,29070,44684,180398
11/14/20,38307,41100,167926
11/15/20,14134,30548,136356
11/16/20,13371,29163,162624
11/17/20,35294,38617,163958
11/18/20,34091,45576,173251
11/19/20,35918,45882,191510
11/20/20,38397,46232,198333
11/21/20,32622,45209,179436
11/22/20,18615,44059,146947
11/23/20,16207,37975,174089
11/24/20,31100,44376,175544
11/25/20,47898,44489,183403
11/26/20,37614,43082,112526
11/27/20,34130,41322,207933
11/28/20,51922,41810,155661
11/29/20,24468,38772,140328
11/30/20,21138,31118,160321
12/1/20,50909,36604,188339
12/2/20,49863,35551,202894
12/3/20,50434,36595,223421
12/4/20,46884,36652,232644
12/5/20,43209,36011,215811
12/6/20,26363,32981,181253
12/7/20,20371,26567,194409
12/8/20,51088,32080,224452
12/9/20,53453,31521,222648
12/10/20,53347,29373,231428
12/11/20,54428,30031,240089
12/12/20,43900,30254,217797
12/13/20,21825,27071,187971
12/14/20,25193,22065,194314
12/15/20,42889,26382,208992
12/16/20,70574,24010,246644
12/17/20,69826,22890,239922
12/18/20,52544,25152,251820
12/19/20,50177,26624,192103
12/20/20,25445,24337,188004
12/21/20,25019,19556,198703
12/22/20,55202,23950,198123
12/23/20,46696,24712,229625
12/24/20,58428,23067,194138
12/25/20,24615,22273,97880
12/26/20,17246,18732,226416
12/27/20,18479,20021,155845
12/28/20,20548,16432,174152
12/29/20,58718,20549,200439
12/30/20,55649,21822,233691
12/31/20,56773,20035,235584
1/1/21,24605,39114,153911
1/2/21,15827,-1858,300462
1/3/21,17341,16504,208853
1/4/21,20006,16375,184005
1/5/21,56648,18088,235042
1/6/21,63430,20346,255660
1/7/21,87843,18139,278314
1/8/21,52035,0,295257
1/9/21,62290,36867,260967
1/10/21,29792,16311,213415
1/11/21,25822,12584,214687
1/12/21,64025,15968,226944
1/13/21,60899,16946,230301
1/14/21,67758,15590,235766
1/15/21,69198,15158,242866
1/16/21,61567,15144,201858
1/17/21,33040,13788,177845
1/18/21,23671,10050,143598
1/19/21,62094,13816,176216
1/20/21,64385,15244,183261
1/21/21,59119,14545,193872
1/22/21,56552,14256,190758
1/23/21,62334,14849,170745
1/24/21,28323,13203,131198
1/25/21,26816,9102,151677
1/26/21,61963,12689,147626
1/27/21,63520,11666,153961
